Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,ID
35,Alperen Şengün,22,HOU,C,76,76,2395,0.496,7.5,0.921,0.319,0.405,0.164,0.033,0.079,0.519,0.679,0.454,0.396,0.368,0.233,0.473,0.952,0.067,65,0.067,0.333,0,0,AS,sengual01
409,Alex Len,31,2TM,C,46,7,380,0.508,7.5,0.857,0.429,0.333,0.079,0.016,0.143,0.556,0.63,0.571,0.2,0,0.222,0.733,1,0.206,9,0.444,0.25,0,0,,lenal01
57,Amen Thompson,22,HOU,SF,69,42,2225,0.557,7.8,0.869,0.42,0.298,0.096,0.055,0.131,0.599,0.758,0.471,0.493,0.263,0.275,0.523,0.96,0.212,138,0.582,0.377,2,0,DPOY-5DEF1,thompam01
436,Marvin Bagley III,25,2TM,PF,31,2,265,0.519,7.8,0.821,0.5,0.264,0.057,0,0.179,0.598,0.736,0.393,0.333,,0.158,0.538,1,0.208,21,0.316,0.167,0,0,,baglema01
82,Onyeka Okongwu,24,ATL,C,74,40,2064,0.567,7.9,0.784,0.48,0.263,0.038,0.003,0.216,0.634,0.738,0.472,0.5,0,0.324,0.768,1,0.145,91,0.534,0.354,1,0,,okongon01
33,Domantas Sabonis,28,SAC,C,70,70,2429,0.59,8.1,0.825,0.43,0.306,0.044,0.047,0.175,0.627,0.708,0.56,0.462,0.452,0.417,0.63,0.985,0.097,80,0.051,0.5,0,0,,sabondo01
355,Jarred Vanderbilt,25,LAL,PF,36,2,581,0.488,8.2,0.736,0.554,0.174,0.008,0,0.264,0.562,0.672,0.238,0,,0.281,0.7,1,0.289,30,0.75,0.375,1,0,,vandeja01
382,Reece Beekman,23,2TM,PG,36,4,469,0.327,8.2,0.626,0.215,0.318,0.047,0.047,0.374,0.418,0.609,0.382,0,0.2,0.175,0.464,1,0.009,1,0.4,0.25,0,0,,beekmre01
497,Keshad Johnson,23,MIA,SF,16,0,98,0.692,8.3,0.731,0.577,0.154,0,0,0.269,0.789,0.933,0.25,,,0.429,0.6,1,0.231,6,0.143,0,0,0,,johnske10
236,Deandre Ayton,26,POR,C,40,40,1206,0.566,8.4,0.932,0.344,0.269,0.205,0.113,0.068,0.594,0.82,0.468,0.49,0.396,0.188,0.741,1,0.165,71,0.469,0.067,0,0,,aytonde01
462,Enrique Freeman,24,IND,PF,22,1,181,0.432,8.4,0.73,0.514,0.216,0,0,0.27,0.556,0.632,0.375,,,0.1,0.8,1,0.108,3,0.8,0.125,0,0,,freemen01
215,Jonathan Mogbo,23,TOR,PF,63,18,1286,0.438,8.6,0.803,0.461,0.233,0.073,0.037,0.197,0.486,0.634,0.277,0.346,0.231,0.243,0.712,1,0.216,66,0.443,0.323,2,0,,mogbojo01
372,Elfrid Payton,30,2TM,PG,24,9,511,0.328,8.8,0.951,0.148,0.525,0.262,0.016,0.049,0.336,0.333,0.375,0.25,0.5,0.167,0.179,1,0,0,0.167,0,0,0,,paytoel01
568,Zyon Pullin,23,MEM,SG,3,0,3,0,8.8,1,0,1,0,0,0,0,,0,,,,,,0,0,,,0,0,,pullizy01
288,Tre Jones,25,2TM,PG,46,9,905,0.538,8.9,0.798,0.345,0.361,0.076,0.017,0.202,0.574,0.671,0.558,0.222,0.5,0.396,0.514,1,0.004,1,0.5,0.458,0,0,,jonestr01
